Kategorie,Aktivität,Anbietername_original,Anbietername_verifiziert,Adresse_verifiziert,Stadt,Status,Google_Rating,Google_ReviewCount,Website,Telefon,Google_Maps_URL,Zweitquelle_URL,Notizen,Confidence,Check_Datum
Schifffahrtsgesellschaft,Hamburg Hafenrundfahrt (klassisch),Rainer Abicht Elbreederei,Rainer Abicht Elbreederei,"Bei den St. Pauli Landungsbrücken, Brücke 1, 20359 Hamburg",Hamburg,OK_HAMBURG,4.8,8738.0,https://www.abicht.de,+49 40 3178220,https://www.google.com/maps/search/?api=1&query=Rainer+Abicht+Elbreederei+Hamburg,https://www.abicht.de,"Hohe Taktung, viele Optionen, oft Frühbucherpreise",hoch,2026-02-11
Schifffahrtsgesellschaft,Hamburg Hafenrundfahrt (klassisch),Barkassen-Meyer,Barkassen-Meyer,"Bei den St. Pauli-Landungsbrücken 6, 20359 Hamburg",Hamburg,OK_HAMBURG,4.4,1500.0,https://www.barkassen-meyer.de,+49 40 3177370,https://www.google.com/maps/search/?api=1&query=Barkassen-Meyer+Hamburg,https://www.barkassen-meyer.de,"Gute Basispreise, klassische Routen",hoch,2026-02-11
Schifffahrtsgesellschaft,Hamburg Hafenrundfahrt (klassisch),Maritime Circle Line,Maritime Circle Line,,Hamburg,OK_HAMBURG,4.4,,https://www.maritime-circle-line.de,,https://www.google.com/maps/search/?api=1&query=Maritime+Circle+Line+Hamburg,https://www.maritime-circle-line.de,Hop-on-Hop-off Konzept spart Transferkosten,mittel,2026-02-11
Schifffahrtsgesellschaft,Hamburg Hafenrundfahrt (klassisch),Kapitän Prüsse,Kapitän Prüsse,,Hamburg,OK_HAMBURG,,,https://www.captain-pruesse.de,,https://www.google.com/maps/search/?api=1&query=Kapitän+Prüsse+Hamburg,https://www.captain-pruesse.de,"Historische Barkassen, gute Gruppenpakete",mittel,2026-02-11
ÖPNV-Fähren,Hamburg Hafenrundfahrt (klassisch),HADAG Elbfähren,HADAG Elbfähren,,Hamburg,OK_HAMBURG,,,https://www.hadag.de,,https://www.google.com/maps/search/?api=1&query=HADAG+Elbfähren+Hamburg,https://www.hadag.de,Sehr günstig für Wasser-Erlebnis mit Elbblick,mittel,2026-02-11
Schifffahrtsgesellschaft,Alsterrundfahrt per Schiff,ATG Alster-Touristik,ATG Alster-Touristik,,Hamburg,OK_HAMBURG,4.4,,https://www.alstertouristik.de,,https://www.google.com/maps/search/?api=1&query=ATG+Alster-Touristik+Hamburg,https://www.alstertouristik.de,"Große Flotte, stabile Preise",mittel,2026-02-11
Schifffahrtsgesellschaft,Alsterrundfahrt per Schiff,Rainer Abicht (Alster-Linien),Rainer Abicht (Alster-Linien),,Hamburg,OK_HAMBURG,4.5,,https://www.abicht.de,,https://www.google.com/maps/search/?api=1&query=Rainer+Abicht+(Alster-Linien)+Hamburg,https://www.abicht.de,Kombiangebote erhöhen Gegenwert,mittel,2026-02-11
Schifffahrt/Erlebnis,Alsterrundfahrt per Schiff,Dampfschiffahrt Alster (historische Fahrten),Dampfschiffahrt Alster (historische Fahrten),,Hamburg,OK_HAMBURG,,,https://www.alstertouristik.de,,https://www.google.com/maps/search/?api=1&query=Dampfschiffahrt+Alster+(historische+Fahrten)+Hamburg,https://www.alstertouristik.de,Historische Schiffe als Mehrwert,mittel,2026-02-11
Wassersportanbieter,Alsterrundfahrt per Schiff,SUP CLUB Hamburg (Kanaltouren per SUP/Kajak),SUP CLUB Hamburg (Kanaltouren per SUP/Kajak),,Hamburg,OK_HAMBURG,,,https://www.supclubhamburg.de,,https://www.google.com/maps/search/?api=1&query=SUP+CLUB+Hamburg+(Kanaltouren+per+SUP/Kajak)+Hamburg,https://www.supclubhamburg.de,Einsteigerfreundliche Pakete,mittel,2026-02-11
Tourveranstalter,Alsterrundfahrt per Schiff,Stattreisen Hamburg (Fleet/Alster-Thementouren),Stattreisen Hamburg (Fleet/Alster-Thementouren),,Hamburg,OK_HAMBURG,,,https://www.stattreisen-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Stattreisen+Hamburg+(Fleet/Alster-Thementouren)+Hamburg,https://www.stattreisen-hamburg.de,Inhaltlich starke Tourguides fürs Geld,mittel,2026-02-11
